OpenDate,FirstName,LastName,Gender,PreviousCancellations,YearsAsCustomer,CustomerApproved,AppointmentDate,AppointmentSlot,EngineerKey,TaskCategory,Maintenance,FixDescription,CustomerAge,PastVisits,Result
9/15/16,Roy,Uhler,Male,0,0-1 Years,FALSE,9/30/16,,1234498,Disconnect,Premise maintenance with customer,N/A,40 to 50,2,0
9/17/16,Emil,Boor,Male,0,0-1 Years,FALSE,9/29/16,12:00 PM - 02:00 PM,1234489,New Install,Premise maintenance with customer,N/A,40 to 50,3,0
9/15/16,Erin,Kang,,0,0-1 Years,TRUE,9/30/16,12:00 PM - 02:00 PM,1234490,New Install,Premise maintenance with customer,N/A,20 to 30,0,1
9/16/16,Thea,Millener,Female,0,1-3 Years,TRUE,9/27/16,08:00 AM - 10:00 AM,1234499,New Install,Premise maintenance with customer,N/A,70 to 80,0,0
9/12/16,Phoebe,Boydston,Female,0,0-1 Years,FALSE,10/3/16,12:00 PM - 02:00 PM,1234477,New Install,Premise maintenance with customer,N/A,30 to 40,2,1
9/12/16,Lawerence,Petroff,Male,0,0-1 Years,FALSE,9/21/16,12:00 PM - 02:00 PM,1234495,Break Fix,Premise maintenance with customer,TV box no remote,40 to 50,1,0
9/14/16,Kirstie,Rosa,Female,1,3-5 Years,FALSE,9/14/16,02:00 PM - 04:00 PM,1234492,Planned Maintenance,,N/A,40 to 50,0,0
9/12/16,Ayako,Korn,Female,1,1-3 Years,FALSE,9/18/16,02:00 PM - 04:00 PM,1234479,New Install,Premise maintenance with customer,N/A,50 to 60,0,0
9/13/16,Clelia,Cahoon,Female,0,3-5 Years,FALSE,10/2/16,12:00 PM - 02:00 PM,1234489,New Install,Premise maintenance with customer,N/A,40 to 50,1,0
9/16/16,Royal,Weymouth,Male,0,3-5 Years,FALSE,9/19/16,04:00 PM - 06:00 PM,1234478,New Install,Premise maintenance with customer,N/A,70 to 80,1,0
9/18/16,Ashleigh,Bridgeman,,0,0-1 Years,FALSE,10/5/16,02:00 PM - 04:00 PM,1234489,Break Fix,Premise maintenance with customer,TV box broken,70 to 80,4,0
9/12/16,Suzann,Hosack,Female,0,0-1 Years,TRUE,9/30/16,12:00 PM - 02:00 PM,1234498,Break Fix,Premise maintenance with customer,Phone no power,40 to 50,2,0
9/18/16,Arcelia,Verret,Female,0,0-1 Years,FALSE,9/25/16,08:00 AM - 10:00 AM,1234489,Disconnect,Premise maintenance with customer,N/A,30 to 40,0,0
9/13/16,Bert,Newberg,Male,2,3-5 Years,FALSE,9/18/16,,1234499,Disconnect,Premise maintenance with customer,N/A,40 to 50,1,0
9/14/16,Raphael,Heger,Male,0,0-1 Years,FALSE,9/29/16,10:00 AM - 12:00 PM,1234491,Business SLA,Premise maintenance with customer,N/A,70 to 80,0,1
9/13/16,Ira,Brasher,Male,0,0-1 Years,TRUE,9/19/16,08:00 AM - 10:00 AM,1234475,Disconnect,Premise maintenance with customer,N/A,30 to 40,2,0
9/17/16,Leida,Towsend,Female,1,0-1 Years,FALSE,9/30/16,,1234478,Planned Maintenance,Premise maintenance with customer,N/A,20 to 30,3,1
9/16/16,Marylin,Weissinger,Female,0,1-3 Years,FALSE,9/26/16,02:00 PM - 04:00 PM,1234496,New Install,Premise maintenance with customer,N/A,50 to 60,2,0
9/15/16,Dewey,Coppin,,1,0-1 Years,FALSE,9/19/16,10:00 AM - 12:00 PM,1234497,New Install,Premise maintenance with customer,N/A,30 to 40,1,0
9/15/16,Coy,Emigh,Male,0,Over 5 Years,FALSE,9/20/16,,1234475,New Install,Premise maintenance with customer,N/A,70 to 80,1,0
9/14/16,Sam,Kollar,Male,0,1-3 Years,FALSE,9/29/16,,1234480,Break Fix,Premise maintenance with customer,Phone broken,40 to 50,3,0
9/18/16,Ismael,Foust,Male,0,0-1 Years,FALSE,9/20/16,08:00 AM - 10:00 AM,1234491,Planned Maintenance,Premise maintenance with customer,N/A,40 to 50,2,0
9/18/16,Nicol,Coronel,,0,1-3 Years,FALSE,9/15/16,08:00 AM - 10:00 AM,1234484,Break Fix,Premise maintenance with customer,TV box no power,70 to 80,1,0
9/18/16,Armando,Feller,,1,1-3 Years,FALSE,10/1/16,,1234499,Break Fix,Premise maintenance with customer,TV box no remote,30 to 40,3,1
9/16/16,Jackqueline,Samuelson,Female,0,0-1 Years,FALSE,9/22/16,,1234495,Break Fix,Premise maintenance with customer,TV box broken,70 to 80,0,0
9/15/16,Carson,Corns,,0,1-3 Years,FALSE,10/2/16,12:00 PM - 02:00 PM,1234476,Break Fix,Premise maintenance with customer,Phone broken,20 to 30,3,0
9/14/16,Carolee,Tavernier,Female,0,3-5 Years,FALSE,9/24/16,08:00 AM - 10:00 AM,1234483,Planned Maintenance,Premise maintenance with customer,N/A,30 to 40,1,0
9/12/16,Ferdinand,Defenbaugh,Male,0,3-5 Years,FALSE,9/21/16,,1234493,Business SLA,Premise maintenance with customer,N/A,30 to 40,0,0
9/13/16,Reyes,Manly,Male,0,1-3 Years,TRUE,9/17/16,08:00 AM - 10:00 AM,1234480,Disconnect,Premise maintenance with customer,N/A,50 to 60,1,0
9/12/16,Deloras,Derosa,Female,1,1-3 Years,FALSE,10/2/16,12:00 PM - 02:00 PM,1234479,Disconnect,Premise maintenance with customer,N/A,50 to 60,3,0
9/16/16,Rubin,Varn,Male,0,3-5 Years,FALSE,9/24/16,02:00 PM - 04:00 PM,1234485,Break Fix,Premise maintenance with customer,Router no power,60 to 70,2,0
9/17/16,Sonny,Pickert,Male,0,3-5 Years,FALSE,9/26/16,04:00 PM - 06:00 PM,1234479,New Install,Premise maintenance with customer,N/A,60 to 70,0,0
9/16/16,Nicholas,Wacaster,Male,0,0-1 Years,TRUE,9/30/16,04:00 PM - 06:00 PM,1234483,Disconnect,Premise maintenance with customer,N/A,60 to 70,0,0
9/16/16,Lyman,Rogerson,Male,0,3-5 Years,FALSE,10/4/16,,1234487,Break Fix,Premise maintenance with customer,Router no led,70 to 80,0,0
9/17/16,Vivien,Hesser,Female,0,3-5 Years,FALSE,10/1/16,12:00 PM - 02:00 PM,1234488,Disconnect,Premise maintenance with customer,N/A,50 to 60,0,0
9/15/16,Deidre,Cutlip,Female,1,1-3 Years,FALSE,9/19/16,12:00 PM - 02:00 PM,1234482,New Install,Premise maintenance with customer,N/A,30 to 40,1,0
9/16/16,Tomiko,Botkin,Female,0,1-3 Years,FALSE,9/14/16,02:00 PM - 04:00 PM,1234482,New Install,Premise maintenance with customer,N/A,60 to 70,1,0
9/16/16,Henrietta,Belt,Female,0,3-5 Years,FALSE,10/3/16,,1234479,New Install,Premise maintenance with customer,N/A,40 to 50,3,0
9/12/16,Audria,Edmundson,Female,0,0-1 Years,TRUE,9/25/16,08:00 AM - 10:00 AM,1234492,Break Fix,Premise maintenance with customer,Router no wire,50 to 60,1,0
9/14/16,Chelsie,Majewski,Female,0,Over 5 Years,FALSE,9/24/16,08:00 AM - 10:00 AM,1234478,Break Fix,Premise maintenance with customer,Phone broken,40 to 50,1,0
9/13/16,Dorathy,Wetherell,Female,0,1-3 Years,FALSE,9/30/16,02:00 PM - 04:00 PM,1234487,New Install,Premise maintenance with customer,N/A,70 to 80,2,1
9/12/16,Deloise,Kelsch,Female,1,1-3 Years,FALSE,9/16/16,02:00 PM - 04:00 PM,1234485,Disconnect,Premise maintenance with customer,N/A,30 to 40,1,0
9/18/16,Vicente,Allyn,Male,0,Over 5 Years,FALSE,9/28/16,10:00 AM - 12:00 PM,1234477,Disconnect,Premise maintenance with customer,N/A,50 to 60,0,0
9/16/16,Bret,Stafford,Male,0,1-3 Years,TRUE,9/27/16,,1234480,New Install,Premise maintenance with customer,N/A,50 to 60,1,0
9/18/16,Dorothea,Rhode,Female,0,1-3 Years,TRUE,9/21/16,08:00 AM - 10:00 AM,1234483,Break Fix,Premise maintenance with customer,Router no power,40 to 50,0,0
9/13/16,Margert,Gerhardt,Female,0,1-3 Years,FALSE,9/18/16,12:00 PM - 02:00 PM,1234498,Planned Maintenance,Premise maintenance with customer,N/A,30 to 40,0,0
9/16/16,Salina,Speers,Female,0,0-1 Years,TRUE,10/3/16,10:00 AM - 12:00 PM,1234486,Disconnect,Premise maintenance with customer,N/A,50 to 60,4,0
9/18/16,Anibal,Sowers,Male,0,3-5 Years,TRUE,9/29/16,02:00 PM - 04:00 PM,1234485,New Install,Premise maintenance with customer,N/A,50 to 60,0,1
9/17/16,Dominick,Alexis,Male,0,0-1 Years,FALSE,9/26/16,,1234481,Business SLA,Premise maintenance with customer,N/A,30 to 40,0,0
9/14/16,Lionel,Smythe,Male,1,0-1 Years,TRUE,9/19/16,12:00 PM - 02:00 PM,1234488,Break Fix,Premise maintenance with customer,TV box broken,50 to 60,1,0
9/16/16,Reba,Hane,Female,0,Over 5 Years,FALSE,9/16/16,08:00 AM - 10:00 AM,1234483,Break Fix,Premise maintenance with customer,TV box no power,70 to 80,2,0
9/18/16,Lindy,Straube,Female,1,0-1 Years,FALSE,10/3/16,,1234478,New Install,Premise maintenance with customer,N/A,30 to 40,1,1
9/16/16,Chantell,Roller,Female,1,Over 5 Years,FALSE,10/1/16,04:00 PM - 06:00 PM,1234475,Planned Maintenance,Premise maintenance with customer,N/A,70 to 80,3,0
9/18/16,Gracie,Delk,,0,3-5 Years,TRUE,9/19/16,02:00 PM - 04:00 PM,1234496,Business SLA,Premise maintenance with customer,N/A,30 to 40,2,0
9/12/16,Sherly,Councill,Female,1,1-3 Years,FALSE,10/1/16,02:00 PM - 04:00 PM,1234499,Break Fix,Premise maintenance with customer,Router no power,70 to 80,0,1
9/17/16,Leia,Dandrea,Female,1,0-1 Years,FALSE,10/3/16,12:00 PM - 02:00 PM,1234478,Planned Maintenance,Premise maintenance with customer,N/A,70 to 80,1,1
9/13/16,Abbey,Man,Female,0,1-3 Years,FALSE,10/3/16,04:00 PM - 06:00 PM,1234495,Disconnect,,N/A,50 to 60,4,0
9/15/16,Barry,Novoa,Male,0,Over 5 Years,FALSE,9/24/16,04:00 PM - 06:00 PM,1234487,Break Fix,Premise maintenance with customer,Router no led,50 to 60,0,0
9/13/16,Vanda,Pearl,Female,0,1-3 Years,TRUE,9/20/16,,1234489,Disconnect,Premise maintenance with customer,N/A,30 to 40,1,0
9/16/16,Katharyn,Abele,Female,0,0-1 Years,FALSE,9/18/16,04:00 PM - 06:00 PM,1234477,New Install,,N/A,50 to 60,0,0
9/17/16,Toby,Mole,Male,1,3-5 Years,FALSE,9/21/16,02:00 PM - 04:00 PM,1234495,New Install,Premise maintenance with customer,N/A,60 to 70,3,0
9/17/16,Ezra,Burry,Male,1,0-1 Years,TRUE,9/23/16,12:00 PM - 02:00 PM,1234494,Break Fix,Premise maintenance with customer,TV box no remote,30 to 40,2,0
9/14/16,Leslie,Sitsler,Male,1,0-1 Years,FALSE,9/28/16,,1234475,Break Fix,Premise maintenance with customer,Router no power,70 to 80,2,0
9/12/16,Wilhelmina,Kinnaird,Female,0,0-1 Years,FALSE,10/1/16,02:00 PM - 04:00 PM,1234478,New Install,Premise maintenance with customer,N/A,50 to 60,0,1
9/15/16,Delila,Chapple,Female,1,0-1 Years,FALSE,10/3/16,12:00 PM - 02:00 PM,1234481,Break Fix,Premise maintenance with customer,Router no wire,60 to 70,3,1
9/13/16,Jamison,Drennan,Male,0,1-3 Years,FALSE,9/22/16,02:00 PM - 04:00 PM,1234494,Break Fix,Premise maintenance with customer,TV box no led,30 to 40,2,0
9/18/16,Jerrold,Quinby,Male,1,0-1 Years,FALSE,10/6/16,02:00 PM - 04:00 PM,1234483,Break Fix,Premise maintenance with customer,Phone no power,70 to 80,3,1
9/12/16,Nicole,Maycock,Female,0,1-3 Years,FALSE,10/6/16,,1234483,Business SLA,Premise maintenance with customer,N/A,50 to 60,2,0
9/12/16,Pandora,Rolle,Female,0,1-3 Years,FALSE,9/23/16,12:00 PM - 02:00 PM,1234491,Break Fix,Premise maintenance with customer,Router no led,70 to 80,2,1
9/17/16,Owen,Litten,,1,0-1 Years,FALSE,10/1/16,12:00 PM - 02:00 PM,1234496,Planned Maintenance,Premise maintenance with customer,N/A,30 to 40,0,1
9/15/16,Joaquin,Tee,Male,0,3-5 Years,FALSE,9/21/16,08:00 AM - 10:00 AM,1234493,New Install,Premise maintenance with customer,N/A,50 to 60,1,0
9/18/16,Kareen,Ballweg,Female,0,1-3 Years,TRUE,9/26/16,08:00 AM - 10:00 AM,1234476,New Install,Premise maintenance with customer,N/A,60 to 70,0,0
9/15/16,Candyce,Rega,Female,1,1-3 Years,FALSE,10/5/16,12:00 PM - 02:00 PM,1234496,New Install,Premise maintenance with customer,N/A,50 to 60,2,0
9/12/16,Pierre,Achorn,Male,1,0-1 Years,TRUE,9/16/16,04:00 PM - 06:00 PM,1234495,New Install,Premise maintenance with customer,N/A,60 to 70,1,0
9/14/16,Roxy,Highfill,,0,0-1 Years,FALSE,9/23/16,10:00 AM - 12:00 PM,1234485,Disconnect,Premise maintenance with customer,N/A,60 to 70,0,0
9/16/16,Sana,Tackett,,0,Over 5 Years,FALSE,9/22/16,02:00 PM - 04:00 PM,1234485,Break Fix,Premise maintenance with customer,Router no wire,30 to 40,0,0
9/13/16,Carman,Mebane,Female,0,3-5 Years,FALSE,9/27/16,02:00 PM - 04:00 PM,1234487,Business SLA,Premise maintenance with customer,N/A,70 to 80,0,0
9/16/16,Apryl,Hane,Female,0,0-1 Years,TRUE,9/25/16,08:00 AM - 10:00 AM,1234484,Break Fix,Premise maintenance with customer,Router no led,40 to 50,1,0
9/18/16,Izola,Paille,Female,0,Over 5 Years,FALSE,10/4/16,,1234495,Disconnect,Premise maintenance with customer,N/A,30 to 40,0,0
9/17/16,Sigrid,Miers,Female,0,0-1 Years,FALSE,9/30/16,02:00 PM - 04:00 PM,1234499,Break Fix,Premise maintenance with customer,Phone no power,50 to 60,3,0
9/12/16,Ellie,Biles,Female,1,3-5 Years,TRUE,9/23/16,10:00 AM - 12:00 PM,1234478,Planned Maintenance,Premise maintenance with customer,N/A,40 to 50,0,1
9/17/16,Eunice,Jansen,Female,0,Over 5 Years,FALSE,10/1/16,04:00 PM - 06:00 PM,1234492,Break Fix,Premise maintenance with customer,Router no power,50 to 60,0,1
9/17/16,Breanna,Sine,Female,0,3-5 Years,TRUE,10/2/16,10:00 AM - 12:00 PM,1234490,Break Fix,Premise maintenance with customer,TV box frozen,50 to 60,4,0
9/12/16,Reita,Pompei,Female,2,0-1 Years,TRUE,9/30/16,,1234497,Break Fix,Premise maintenance with customer,TV box broken,70 to 80,2,0
9/12/16,Kirstin,Millis,Female,0,1-3 Years,FALSE,10/1/16,12:00 PM - 02:00 PM,1234490,New Install,Premise maintenance with customer,N/A,50 to 60,1,1
9/15/16,Agripina,Rundquist,Female,0,0-1 Years,FALSE,9/19/16,10:00 AM - 12:00 PM,1234491,Break Fix,Premise maintenance with customer,Phone broken,40 to 50,0,0
9/14/16,Ja,Beauregard,Female,0,1-3 Years,FALSE,10/1/16,02:00 PM - 04:00 PM,1234496,New Install,Premise maintenance with customer,N/A,50 to 60,3,0
9/16/16,Vanda,Demos,Female,0,0-1 Years,FALSE,9/20/16,08:00 AM - 10:00 AM,1234499,New Install,Premise maintenance with customer,N/A,60 to 70,2,0
9/16/16,Ken,Setser,Male,0,1-3 Years,FALSE,10/1/16,12:00 PM - 02:00 PM,1234477,Disconnect,Premise maintenance with customer,N/A,70 to 80,4,1
9/14/16,Tierra,Sevy,Female,1,0-1 Years,FALSE,9/28/16,,1234476,Disconnect,Premise maintenance with customer,N/A,40 to 50,0,0
9/17/16,Jacinto,Kincheloe,Male,0,0-1 Years,FALSE,9/14/16,10:00 AM - 12:00 PM,1234481,Business SLA,Premise maintenance with customer,N/A,70 to 80,2,0
9/14/16,America,Haskett,Female,1,0-1 Years,FALSE,9/28/16,08:00 AM - 10:00 AM,1234495,New Install,Premise maintenance with customer,N/A,50 to 60,0,0
9/14/16,Edyth,Spagnuolo,,1,1-3 Years,FALSE,9/18/16,08:00 AM - 10:00 AM,1234493,Planned Maintenance,Premise maintenance with customer,N/A,30 to 40,1,0
9/14/16,Lindsay,Chain,Male,1,0-1 Years,FALSE,9/30/16,02:00 PM - 04:00 PM,1234484,Break Fix,Premise maintenance with customer,Router no wire,10 to 20,1,1
9/13/16,Mckinley,Tolentino,Male,0,3-5 Years,FALSE,9/26/16,10:00 AM - 12:00 PM,1234480,Disconnect,Premise maintenance with customer,N/A,30 to 40,0,0
9/14/16,Reinaldo,Atha,Male,1,Over 5 Years,FALSE,9/27/16,08:00 AM - 10:00 AM,1234490,New Install,Premise maintenance with customer,N/A,50 to 60,1,1
9/17/16,Vada,Feld,,0,1-3 Years,FALSE,9/28/16,12:00 PM - 02:00 PM,1234492,New Install,Premise maintenance with customer,N/A,20 to 30,2,1
9/12/16,Isis,Burlingame,Female,0,3-5 Years,FALSE,10/2/16,04:00 PM - 06:00 PM,1234490,New Install,Premise maintenance with customer,N/A,20 to 30,4,1
9/16/16,Izetta,Worster,Female,2,1-3 Years,TRUE,10/5/16,04:00 PM - 06:00 PM,1234476,New Install,Premise maintenance with customer,N/A,40 to 50,1,0
9/17/16,Donte,Scheu,Male,0,1-3 Years,TRUE,10/1/16,04:00 PM - 06:00 PM,1234489,Business SLA,Premise maintenance with customer,N/A,50 to 60,2,0
9/16/16,Francisca,Schow,,0,0-1 Years,FALSE,9/25/16,,1234491,New Install,Premise maintenance with customer,N/A,30 to 40,0,0
9/18/16,Wanda,Mcpherson,Female,0,1-3 Years,TRUE,9/28/16,08:00 AM - 10:00 AM,1234499,New Install,Premise maintenance with customer,N/A,40 to 50,2,0
9/14/16,Tyson,Mcnamara,Male,0,0-1 Years,TRUE,9/19/16,12:00 PM - 02:00 PM,1234481,New Install,Premise maintenance with customer,N/A,40 to 50,0,0
9/16/16,Mason,Balicki,Male,0,0-1 Years,FALSE,9/20/16,10:00 AM - 12:00 PM,1234493,Planned Maintenance,Premise maintenance with customer,N/A,70 to 80,2,0
9/17/16,Shaunda,Schrick,,3+,1-3 Years,FALSE,10/4/16,02:00 PM - 04:00 PM,1234479,New Install,Premise maintenance with customer,N/A,60 to 70,4,0
9/16/16,Andera,Renolds,Female,0,Over 5 Years,FALSE,9/28/16,02:00 PM - 04:00 PM,1234479,Business SLA,Premise maintenance with customer,N/A,40 to 50,2,0
9/14/16,Emmitt,Herren,Male,1,1-3 Years,FALSE,10/1/16,02:00 PM - 04:00 PM,1234494,Break Fix,Premise maintenance with customer,Phone no power,10 to 20,4,1
9/13/16,Laurie,Stump,Female,1,0-1 Years,TRUE,9/21/16,02:00 PM - 04:00 PM,1234475,Break Fix,Premise maintenance with customer,Router no led,70 to 80,1,0
9/12/16,Jorge,Fillman,Male,0,Over 5 Years,TRUE,9/20/16,12:00 PM - 02:00 PM,1234481,New Install,Premise maintenance with customer,N/A,30 to 40,2,0
9/17/16,Saul,Neubauer,Male,2,Over 5 Years,FALSE,9/21/16,08:00 AM - 10:00 AM,1234496,Disconnect,Premise maintenance with customer,N/A,70 to 80,1,0
9/14/16,Hiram,Olivera,Male,0,1-3 Years,FALSE,9/17/16,02:00 PM - 04:00 PM,1234493,Break Fix,Premise maintenance with customer,Phone no power,30 to 40,1,0
9/12/16,Jessie,Spoon,Male,0,0-1 Years,FALSE,9/25/16,12:00 PM - 02:00 PM,1234481,New Install,Premise maintenance with customer,N/A,40 to 50,0,0
9/15/16,Jared,Schlanger,Male,0,1-3 Years,FALSE,9/19/16,04:00 PM - 06:00 PM,1234485,New Install,Premise maintenance with customer,N/A,40 to 50,2,0
